文件题目,发布机构,发布时间,索 引 号,关 键 字,主题分类,内容.txt
西安市中小企业促进局转发陕西省中小企业促进局关于推荐第四批省级中小企业成长梯队企业的通知,工信委,2018-06-20 18:11, 013353737/2018-02876344,通知,文秘工作,2876344.txt
西安市工业和信息化委员会关于做好2018年西安市技术创新项目申报工作的通知,工信委,2018-06-13 17:31, 013353737/2018-02870849,通知,文秘工作,2870849.txt
西安市工业和信息化委员会关于申报西安市2018年新能源汽车生产销售企业及产品审核备案的通知,工信委,2018-06-13 11:12, 013353737/2018-02870302,通知,文秘工作,2870302.txt
​西安市工业和信息化委员会转发陕西省工信厅关于开展我省人工智能产业发展情况调研的通知,工信委,2018-06-05 17:12, 013353737/2018-02861256,通知,文秘工作,2861256.txt
西安市工业和信息化委员会关于组织2018年人工智能与实体经济深度融合创新项目申报工作的通知,工信委,2018-06-05 15:08, 013353737/2018-02860961,通知,文秘工作,2860961.txt
西安市工业和信息化委员会关于邀请会计师事务所对市2017年下半年工业促投资稳增长奖励（拓展市场类）申报资料复核审计的通知,工信委,2018-05-31 17:12, 013353737/2018-02856551,通知,文秘工作,2856551.txt
西安市工业和信息化委员会西安市财政局关于公布西安市涉企保证金目录清单的通知,工信委,2018-05-31 17:10, 013353737/2018-02945156,保证金,其他,2945156.txt
西安市中小企业促进局关于邀请会计师事务所对2018年市中小微型企业信用担保机构担保补贴资金项目进行审核的函,工信委,2018-05-30 16:58, 013353737/2018-02854023,函,文秘工作,2854023.txt
西安市中小企业促进局关于征集第五批西安市中小企业公共服务示范平台的通知,工信委,2018-05-29 16:06, 013353737/2018-02851087,通知,文秘工作,2851087.txt
西安市中小企业促进局关于推荐申报2018年国家级和省级中小企业公共服务示范平台的通知,工信委,2018-05-28 16:03, 013353737/2018-02848900,通知,文秘工作,2848900.txt
​西安市中小企业促进局关于印发《西安市中小企业公共服务示范平台认定管理办法》的通知,工信委,2018-05-25 18:59, 013353737/2018-02846698,通知,文秘工作,2846698.txt
​关于印发2018年市级重点工业技术改造项目计划的通知,工信委,2018-05-16 15:16, 013353737/2018-02834116,通知,文秘工作,2834116.txt
关于组织推荐第三批制造业单项冠军企业和单项冠军产品的通知,工信委,2018-05-08 16:38, 013353737/2018-02825435,通知,文秘工作,2825435.txt
关于开展第二批国家工业遗产申报工作的通知,工信委,2018-05-08 16:31, 013353737/2018-02825395,通知,文秘工作,2825395.txt
